provider_name,address,zip,website,phone,state,county,level,mental_health,meals,transportation,childcare_family,healthcare,delivery,financial_aid,legal,employment,housing_utilities,directory,notes
Indiana Department of Veterans Affairs,,,https://www.in.gov/dva/,,Indiana,,State,N,N,Y,N,N,N,Y,N,Y,Y,N,
Indiana State Health Dept,,,https://secure.in.gov/isdh/,,Indiana,,State,N,N,N,N,Y,N,N,N,N,N,N,
Military Family Relief Fund,,,https://www.in.gov/dva/,,Indiana,,State,N,N,N,N,N,N,Y,N,N,N,N,
Indiana Legal Services            ,,,, (800) 852-3477,Indiana,,State,N,N,N,N,N,N,N,Y,N,N,N,
Work One,,,www.indianacareerready.com,,Indiana,,State,N,N,N,N,N,N,Y,N,Y,N,N,
Child Care Resource and Referrals Services ,,,https://www.in.gov/fssa/,,Indiana,,State,N,N,N,Y,N,N,N,N,N,N,N,
Indiana Coronavirus Info  Site,,,https://coronavirus.in.gov/,,Indiana,,State,N,N,N,N,Y,N,N,N,N,N,N,
Indianapolis Bar Association  ,,,,(317) 269-2000,Indiana,,State,N,N,N,N,N,N,N,N,N,N,N,
Indiana Low Income Home Energy Assistance Program (LIHEAP),,,https://www.in.gov/ihcda/4067.htm,,Indiana,,State,N,N,N,N,N,N,N,N,N,Y,N,
Brighter Futures Indiana,,,http://brighterfuturesindiana.org/,,Indiana,,State,N,N,N,Y,N,N,N,N,N,N,N,
RX for Indiana         ,,,,   (877) 793-0765,Indiana,,State,N,N,N,N,Y,Y,N,N,N,N,N,
Hoosier Healthwise,,,, (800)889-9949,Indiana,,State,N,N,N,N,Y,N,N,N,N,N,N,
"Legal Aid - District 11, Inc.  ",,,,  (877) 378-0358,Indiana,,State,N,N,N,N,N,N,N,Y,N,N,N,
Child Care Resources and Referral for Special Needs -4C's,,,,(866) 200-5909,Indiana,,State,N,N,N,Y,N,N,N,N,N,N,N,
Indiana State Dept of Health Access info on Providers        ,,,,             (800) 433-0746,Indiana,,State,N,N,N,N,N,N,N,N,N,N,Y,
Turning Point Legal Advocate ,,,,(812) 379-9844,Indiana,,State,N,N,N,N,N,N,N,Y,N,N,N,
Vectren Energy Delivery,,,https://www.vectren.com/,800-227-1376,Indiana,,State,N,N,N,N,N,N,N,N,N,Y,N,
Volunteers for Healthcare RX Outreach,,,,(800) 769-3880,Indiana,,State,N,N,N,N,Y,Y,N,N,N,N,N,
Duke Energy Indiana,,,,(800)521-2232,Indiana,,State,N,N,N,N,N,N,N,N,N,Y,N,
Center for Women and Families Clark-IN,,,https://www.thecenteronline.org/,,Indiana,Clark,County,N,N,N,Y,N,N,N,N,N,N,N,
Center for Women and Families Floyd-IN,,,https://www.thecenteronline.org/,,Indiana,Floyd,County,N,N,N,Y,N,N,N,N,N,N,N,
Indiana Township Trustee,,,https://indianatownshipassoc.org/indiana-townships/,,Indiana,,State,N,N,N,N,N,N,N,N,N,N,Y,
Adult Protective Services Indiana,,,https://www.in.gov/fssa/da/3479.htm,(800) 673-0002,Indiana,,State,N,N,N,Y,N,N,N,Y,N,N,N,
Kentucky Department of Veterans Affaris,,,https://veterans.ky.gov/Pages/default.aspx,502-595-4447,Kentucky,,State,N,N,Y,N,N,N,Y,N,Y,Y,N,
KY State Health Dept.,,,https://chfs.ky.gov/agencies/dph/Pages/default.aspx,502-564-3970,Kentucky,,State,N,N,N,N,Y,N,N,N,N,N,N,
Louie Connect,,,https://www.louieconnect.com/,,Kentucky,Jefferson,County,N,N,N,N,N,N,N,N,N,N,Y,
